Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa),Date,Time
1014,77.8,47.0,1007.3,01/12/2024,16:08:15
884,78.5,46.0,1007.3,01/12/2024,16:09:15
914,79.7,43.0,1007.4,01/12/2024,16:10:15
906,79.7,42.0,1007.2,01/12/2024,16:11:15
896,79.3,41.0,1007.3,01/12/2024,16:12:15
862,78.6,41.0,1007.1,01/12/2024,16:13:15
917,78.1,41.0,1007.2,01/12/2024,16:14:15
897,77.5,41.0,1007.1,01/12/2024,16:15:15
883,76.9,41.0,1007.2,01/12/2024,16:16:15
893,76.5,42.0,1007.1,01/12/2024,16:17:15
915,76.2,42.0,1006.9,01/12/2024,16:18:15
932,76.0,43.0,1006.9,01/12/2024,16:19:15
942,75.9,43.0,1006.9,01/12/2024,16:20:15
916,75.8,43.0,1006.9,01/12/2024,16:21:15
917,75.7,43.0,1007.0,01/12/2024,16:22:15
952,75.7,43.0,1007.0,01/12/2024,16:23:15
911,75.6,43.0,1007.1,01/12/2024,16:24:15
927,75.5,43.0,1007.1,01/12/2024,16:25:15
902,75.4,43.0,1007.0,01/12/2024,16:26:15
898,75.3,43.0,1006.9,01/12/2024,16:27:15
878,75.2,44.0,1006.9,01/12/2024,16:28:15
861,75.2,44.0,1006.9,01/12/2024,16:29:15
865,75.0,44.0,1006.8,01/12/2024,16:30:15
877,75.0,44.0,1006.8,01/12/2024,16:31:15
869,74.9,44.0,1006.7,01/12/2024,16:32:15
855,74.8,44.0,1006.8,01/12/2024,16:33:15
878,74.8,44.0,1006.9,01/12/2024,16:34:15
884,74.7,44.0,1006.8,01/12/2024,16:35:15
871,74.7,44.0,1006.8,01/12/2024,16:36:15
864,74.7,44.0,1006.8,01/12/2024,16:37:15
852,74.6,45.0,1006.8,01/12/2024,16:38:15
844,74.5,45.0,1006.7,01/12/2024,16:39:15
872,74.5,45.0,1006.7,01/12/2024,16:40:15
887,74.4,45.0,1006.7,01/12/2024,16:41:15
877,74.3,45.0,1006.6,01/12/2024,16:42:15
