Datetime,co2,tempF,rhumid,atmpr,door1,door2,hvac,subject_count,lecturer
2024-03-14 08:00:00,595.0,65.8,40.0,1017.0,1,1,1,10.0,0
2024-03-14 08:01:00,597.0,66.4,39.0,1016.9,1,1,1,10.0,0
2024-03-14 08:02:00,584.0,66.8,39.0,1016.9,1,1,0,16.0,0
2024-03-14 08:03:00,611.0,67.2,39.0,1017.0,1,1,0,16.0,0
2024-03-14 08:04:00,577.0,67.5,39.0,1017.0,1,1,0,16.0,0
2024-03-14 08:05:00,587.0,67.8,39.0,1016.9,1,1,0,16.0,0
2024-03-14 08:06:00,596.0,67.9,38.0,1017.0,1,1,0,16.0,0
2024-03-14 08:07:00,577.0,68.2,38.0,1017.0,1,1,0,16.0,0
2024-03-14 08:08:00,586.0,68.4,38.0,1017.0,1,1,0,18.0,0
2024-03-14 08:09:00,588.0,68.5,38.0,1017.1,1,1,0,18.0,0
2024-03-14 08:10:00,587.0,68.5,38.0,1017.1,1,1,0,18.0,0
2024-03-14 08:11:00,599.0,68.6,37.0,1017.2,1,1,0,18.0,0
2024-03-14 08:12:00,616.0,68.7,37.0,1017.2,1,1,0,18.0,0
2024-03-14 08:13:00,596.0,68.9,37.0,1017.2,1,1,0,18.0,0
2024-03-14 08:14:00,594.0,68.9,37.0,1017.1,1,1,0,18.0,0
2024-03-14 08:15:00,612.0,69.0,37.0,1017.2,1,1,0,18.0,0
2024-03-14 08:16:00,619.0,69.0,37.0,1017.3,1,1,0,18.0,0
2024-03-14 08:17:00,615.0,69.1,37.0,1017.2,1,1,0,18.0,0
2024-03-14 08:18:00,629.0,69.1,37.0,1017.2,1,1,1,18.0,0
2024-03-14 08:19:00,620.0,69.3,37.0,1017.4,1,1,1,18.0,0
2024-03-14 08:20:00,635.0,69.3,37.0,1017.2,1,1,1,18.0,0
2024-03-14 08:21:00,630.0,69.3,36.0,1017.1,1,1,1,18.0,0
2024-03-14 08:22:00,626.0,69.4,36.0,1017.1,1,1,1,18.0,0
2024-03-14 08:23:00,626.0,69.5,36.0,1017.1,1,1,1,18.0,0
2024-03-14 08:24:00,608.0,69.5,36.0,1017.2,1,1,1,18.0,0
2024-03-14 08:25:00,636.0,69.6,36.0,1017.2,1,1,1,18.0,0
2024-03-14 08:26:00,615.0,69.7,36.0,1017.1,1,1,1,18.0,0
2024-03-14 08:27:00,600.0,69.8,36.0,1017.2,1,1,1,18.0,0
2024-03-14 08:28:00,613.0,69.8,36.0,1017.2,1,1,1,18.0,0
2024-03-14 08:29:00,611.0,70.0,36.0,1017.3,1,1,0,18.0,0
2024-03-14 08:30:00,622.0,70.0,36.0,1017.3,1,1,0,18.0,0
2024-03-14 08:31:00,593.0,70.0,35.0,1017.3,1,1,0,18.0,0
2024-03-14 08:32:00,618.0,70.0,35.0,1017.3,1,1,0,18.0,0
2024-03-14 08:33:00,607.0,70.0,35.0,1017.3,1,1,0,18.0,0
2024-03-14 08:34:00,623.0,70.0,35.0,1017.3,1,1,0,18.0,0
2024-03-14 08:35:00,627.0,70.1,35.0,1017.3,1,1,0,18.0,0
2024-03-14 08:36:00,644.0,70.0,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:37:00,627.0,70.1,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:38:00,643.0,70.0,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:39:00,647.0,70.1,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:40:00,655.0,70.1,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:41:00,636.0,70.1,35.0,1017.5,1,1,0,18.0,0
2024-03-14 08:42:00,634.0,70.1,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:43:00,625.0,70.0,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:44:00,640.0,70.1,35.0,1017.4,1,1,1,18.0,0
2024-03-14 08:45:00,642.0,70.1,35.0,1017.4,1,1,1,18.0,0
2024-03-14 08:46:00,644.0,70.1,35.0,1017.4,1,1,1,18.0,0
2024-03-14 08:47:00,638.0,70.2,35.0,1017.4,1,1,1,18.0,0
2024-03-14 08:48:00,623.0,70.3,35.0,1017.4,1,1,1,18.0,0
2024-03-14 08:49:00,659.0,70.3,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:50:00,667.0,70.3,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:51:00,638.0,70.3,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:52:00,639.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:53:00,628.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:54:00,643.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:55:00,649.0,70.5,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:56:00,639.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:57:00,652.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:58:00,659.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 08:59:00,668.0,70.4,35.0,1017.3,1,1,0,18.0,0
2024-03-14 09:00:00,675.0,70.4,35.0,1017.4,1,1,0,18.0,0
2024-03-14 09:01:00,644.0,70.4,34.0,1017.3,1,1,0,18.0,0
2024-03-14 09:02:00,653.0,70.4,34.0,1017.4,1,1,0,18.0,0
2024-03-14 09:03:00,680.0,70.4,34.0,1017.4,1,1,0,18.0,0
2024-03-14 09:04:00,654.0,70.4,34.0,1017.4,1,1,1,18.0,0
2024-03-14 09:05:00,667.0,70.4,34.0,1017.3,1,1,1,18.0,0
2024-03-14 09:06:00,664.0,70.6,35.0,1017.4,1,1,1,18.0,0
2024-03-14 09:07:00,655.0,70.9,35.0,1017.4,1,1,1,18.0,0
2024-03-14 09:08:00,665.0,71.1,36.0,1017.4,1,1,1,18.0,0
2024-03-14 09:09:00,631.0,71.2,36.0,1017.3,1,1,1,18.0,0
2024-03-14 09:10:00,577.0,71.5,36.0,1017.3,1,1,1,18.0,0
2024-03-14 09:11:00,543.0,71.9,37.0,1017.5,1,1,1,18.0,0
2024-03-14 09:12:00,545.0,72.1,36.0,1017.5,1,1,1,18.0,0
